# acquisition_schedule_template.csv
"Source","Tier","Method","Script/API/Endpoint","Expected Volume","Refresh Frequency","Compliance Notes"
"Craigslist","1","HTML Parsing (Compliant)","fetch_marketplace_data.py","10,000+/day","Daily","Respects robots.txt, summary data only"
"eBay Motors","1","API/HTML Parsing (Compliant)","fetch_marketplace_data.py","5,000+/day","Daily","API preferred, summary data only"
"Bring a Trailer","1","HTML Parsing (Compliant)","fetch_marketplace_data.py","100+/day","Daily","Respects robots.txt, summary data only"
"Cars & Bids","1","HTML Parsing (Compliant)","fetch_marketplace_data.py","100+/day","Daily","Respects robots.txt, summary data only"
"GSA Auctions","3","OpenAI Web Search/API/CSV","openai_websearch_parse_to_structured.py or fetch_auction_and_dataset_data.py","100+/week","Weekly","Public government data, compliant"
"Kaggle CarDekho","4","Manual Download/CSV","fetch_auction_and_dataset_data.py","100,000+","Quarterly","Open dataset, batch enrichment"
"Kaggle Used Car Auction Prices","4","Manual Download/CSV","fetch_auction_and_dataset_data.py","100,000+","Quarterly","Open dataset, batch enrichment"
"UCI ML Automobile Dataset","4","Manual Download/CSV","fetch_auction_and_dataset_data.py","400+","Annual","Open dataset, batch enrichment"
"EPA Fuel Economy Data","4","API/CSV","fetch_auction_and_dataset_data.py","10,000+","Annual","Open dataset, batch enrichment"
"NHTSA vPIC","4","API/CSV","fetch_auction_and_dataset_data.py","100,000+","Annual","Open dataset, batch enrichment"
"FHWA Highway Stats","4","API/CSV","fetch_auction_and_dataset_data.py","10,000+","Annual","Open dataset, batch enrichment"
"EIA Fuel Price Data","4","API/CSV","fetch_auction_and_dataset_data.py","500+","Monthly","Open dataset, batch enrichment"
