# endpoint_query_mapping.csv
"Source","Script/API/Endpoint","Query/Parameters","Notes"
"Craigslist","fetch_marketplace_data.py","region, max_results","Summary data, public listings only"
"eBay Motors","fetch_marketplace_data.py","max_pages, delay","Summary data, public listings only"
"Bring a Trailer","fetch_marketplace_data.py","max_results","Summary data, public listings only"
"Cars & Bids","fetch_marketplace_data.py","max_results","Summary data, public listings only"
"GSA Auctions","openai_websearch_parse_to_structured.py","auction name, format, frequency","OpenAI web search, public government data"
"Kaggle CarDekho","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
"Kaggle Used Car Auction Prices","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
"UCI ML Automobile Dataset","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
"EPA Fuel Economy Data","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
"NHTSA vPIC","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
"FHWA Highway Stats","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
"EIA Fuel Price Data","fetch_auction_and_dataset_data.py","csv_path, max_rows","Manual download, open dataset"
