path,bytes,lines
src/layouts/MainLayout.tsx,542,21
src/layouts/AuthenticatedLayout.tsx,1565,55
src/layouts/AuthLayout.tsx,1044,38
src/layouts/DealerLayout.tsx,380,20
src/App.css,1558,94
src/hooks/usePremiumCredits.ts,1472,54
src/hooks/usePremiumStatus.ts,2619,93
src/hooks/useCorrectedValuation.ts,2844,92
src/hooks/useStepNavigation.ts,1618,68
src/hooks/useOsmGeocode.ts,1495,59
src/hooks/useDealerOfferActions.ts,5305,170
src/hooks/useUserRole.ts,730,26
src/hooks/useFollowUpDataLoader.ts,4927,159
src/hooks/useUser.ts,416,24
src/hooks/useVinForecast.ts,1104,48
src/hooks/useValuationApi.ts,6875,230
src/hooks/useFullValuationPipeline.ts,4525,141
src/hooks/useVinInput.ts,1761,61
src/hooks/useNicbVinCheck.ts,816,33
src/hooks/useMakeModels.ts,9499,321
src/hooks/valuation-pipeline/service.ts,4603,201
src/hooks/valuation-pipeline/index.ts,168,5
src/hooks/valuation-pipeline/types.ts,1788,71
src/hooks/valuation-pipeline/useValuationPipeline.ts,7499,262
src/hooks/usePlateLookup.ts,1348,59
src/hooks/useVehicleHistory.ts,1776,65
src/hooks/useValuationChat.ts,732,27
src/hooks/useAuctionIndex.ts,1318,49
src/hooks/useFormAutosave.ts,1502,57
src/hooks/types/vehicle.ts,318,17
src/hooks/types/savedValuation.ts,490,22
src/hooks/useStepTransition.ts,901,40
src/hooks/useUnifiedDecoder.ts,1487,49
src/hooks/use-mobile.ts,866,38
src/hooks/useValuationFactors.ts,2312,90
src/hooks/useAuthTests.ts,858,36
src/hooks/useMarketInsights.ts,2041,80
src/hooks/useVehicleSelectors.ts,2301,100
src/hooks/useNhtsaRecalls.ts,1712,71
src/hooks/use-toast.tsx,743,38
src/hooks/usePremiumDealer.ts,1589,56
src/hooks/useFormSteps.ts,644,27
src/hooks/useDealerVehicles.ts,991,37
src/hooks/useValuationIntegration.ts,6184,191
src/hooks/useDealerOfferComparison.ts,1717,67
src/hooks/useMarketListings.ts,3925,125
src/hooks/useAuth.tsx,6296,243
src/hooks/useDealerInsights.ts,824,35
src/hooks/useProfile.ts,3316,125
src/hooks/useSimpleFollowUpForm.ts,16728,448
src/hooks/useAuctionIntelligence.ts,3009,92
src/hooks/useVehicleData.ts,618,27
src/hooks/index.ts,366,8
src/hooks/useValidation.ts,3102,113
src/hooks/useFeatureFlags.ts,2255,85
src/hooks/use-mobile.tsx,1096,39
src/hooks/useUnifiedLookup.ts,3062,100
src/hooks/useVehicleSelector.ts,2807,96
src/hooks/useDealerOffers.ts,390,18
src/hooks/useShareReport.ts,1477,55
src/hooks/useServiceHistory.ts,3022,126
src/hooks/usePublicShare.ts,1857,76
src/hooks/useScrapedListings.ts,1031,44
src/hooks/useValuationResult.ts,1822,72
src/hooks/useMarketplaceComparison.ts,7929,204
src/hooks/useCensus.ts,1312,51
src/hooks/useValuationFallback.ts,1465,47
src/hooks/useFollowUpForm.ts,9407,269
src/hooks/useDownloadPdf.ts,900,39
src/hooks/useUserPlan.ts,1108,41
src/hooks/useVinLookup.ts,1419,48
src/hooks/useDealerNotifications.ts,1330,48
